city,event_type,day_of_week,price,marketing_budget,venue_capacity,temperature,is_raining,attendance
Jabalpur,Standup Comedy,6,944,97555,101,41,0,101
Gwalior,Tech Meetup,4,119,33801,263,32,0,228
Rewa,Tech Meetup,3,473,31018,225,41,0,26
Satna,Music Concert,3,4071,34698,3560,20,0,2072
Rewa,Music Concert,2,3115,72352,12826,21,0,6298
Ujjain,Music Concert,0,3820,49669,14287,38,0,8200
Indore,Music Concert,0,3414,40482,10678,29,0,6986
Gwalior,Religious/Cultural,0,602,60855,75,15,0,75
Bhopal,Tech Meetup,1,445,14536,169,41,0,15
Satna,Standup Comedy,4,712,91525,163,42,0,163
Gwalior,Music Concert,3,3929,63266,10530,44,0,2691
Bhopal,Tech Meetup,4,444,85897,51,32,0,51
Rewa,Standup Comedy,6,965,10860,267,16,0,113
Indore,Standup Comedy,4,680,78941,198,20,0,198
Jabalpur,Religious/Cultural,4,685,99960,235,18,0,235
Ujjain,Cricket Screening,6,490,93095,387,21,0,387
Bhopal,Religious/Cultural,3,78,6058,153,39,0,102
Satna,Standup Comedy,1,988,26035,252,41,0,93
Indore,Cricket Screening,3,237,51786,121,23,0,121
Rewa,Music Concert,5,3560,30275,9073,21,0,4565
Ujjain,Music Concert,0,4337,49688,11547,29,0,3824
Rewa,Religious/Cultural,4,454,46372,249,31,0,203
Bhopal,Standup Comedy,6,630,46931,210,41,0,186
Ujjain,Standup Comedy,3,756,81231,182,38,0,182
Gwalior,Music Concert,4,1993,14882,4229,27,0,2726
Ujjain,Food Festival,4,146,54646,1974,23,0,932
Bhopal,Standup Comedy,4,649,39721,188,42,0,182
Bhopal,Standup Comedy,4,993,15310,147,45,0,96
Indore,Religious/Cultural,2,632,10207,272,24,0,204
Rewa,Cricket Screening,2,972,8326,343,31,0,162
Gwalior,Food Festival,6,593,16588,2721,37,0,964
Rewa,Food Festival,0,94,97826,3479,15,0,1816
Gwalior,Cricket Screening,2,96,36115,366,27,0,162
Ujjain,Tech Meetup,4,24,74085,195,25,0,195
Ujjain,Religious/Cultural,2,757,53186,201,39,0,201
Satna,Standup Comedy,1,932,57335,252,35,0,252
Indore,Religious/Cultural,5,410,49794,96,16,0,96
Jabalpur,Cricket Screening,0,841,19000,409,27,0,172
Ujjain,Music Concert,4,989,81045,7912,44,0,2945
Ujjain,Cricket Screening,6,757,86861,159,33,0,159
Jabalpur,Tech Meetup,3,481,48246,264,39,0,55
Ujjain,Tech Meetup,3,337,96081,73,41,0,32
Jabalpur,Cricket Screening,3,879,44521,393,39,0,207
Bhopal,Cricket Screening,6,893,64024,150,45,0,150
Indore,Music Concert,1,1500,98781,2999,19,0,1701
Gwalior,Cricket Screening,3,566,20578,229,25,0,177
Gwalior,Cricket Screening,4,573,73351,381,38,0,381
Gwalior,Food Festival,3,157,59747,2933,22,0,2154
Bhopal,Tech Meetup,5,468,57660,95,40,0,40
Bhopal,Tech Meetup,1,271,32974,186,21,0,186
Bhopal,Cricket Screening,4,753,36259,403,21,0,380
Jabalpur,Religious/Cultural,5,545,81902,283,42,0,283
Bhopal,Tech Meetup,1,389,26663,207,29,0,30
Satna,Cricket Screening,3,659,91602,352,18,0,352
Ujjain,Cricket Screening,4,899,3145,359,29,0,73
Gwalior,Food Festival,1,401,29998,2591,30,0,1004
Indore,Food Festival,0,243,77707,1112,32,0,701
Jabalpur,Music Concert,6,1221,64868,3589,41,0,1477
Satna,Cricket Screening,5,526,88225,252,42,0,252
Rewa,Tech Meetup,3,65,89788,84,44,0,84
Ujjain,Religious/Cultural,1,659,30298,56,29,0,56
Satna,Music Concert,0,4037,83464,6106,33,0,3577
Indore,Food Festival,5,973,94347,1163,15,0,640
Ujjain,Music Concert,5,2008,65059,6810,44,0,2085
Ujjain,Standup Comedy,6,243,17024,229,18,0,112
Bhopal,Standup Comedy,4,226,27740,206,21,0,206
Satna,Food Festival,0,473,60404,2444,41,0,845
Bhopal,Food Festival,2,923,95454,4075,23,0,1395
Jabalpur,Food Festival,4,774,97492,4837,36,0,1620
Rewa,Tech Meetup,3,325,32956,98,17,0,35
Bhopal,Cricket Screening,4,318,94465,311,24,0,311
Ujjain,Music Concert,6,3729,67782,12231,44,0,4761
Jabalpur,Standup Comedy,6,187,97303,223,21,0,223
Satna,Music Concert,1,4980,97355,8830,23,0,4639
Jabalpur,Standup Comedy,1,769,8067,114,33,0,50
Bhopal,Tech Meetup,2,377,83799,194,36,0,57
Jabalpur,Food Festival,6,316,49747,3917,42,0,1363
Jabalpur,Tech Meetup,0,239,18976,119,28,0,119
Rewa,Religious/Cultural,4,178,41414,220,18,0,220
Gwalior,Food Festival,0,413,66073,4090,16,0,2975
Jabalpur,Cricket Screening,0,516,16627,412,24,0,92
Ujjain,Religious/Cultural,0,199,95523,71,20,0,71
Ujjain,Religious/Cultural,1,506,83562,155,25,0,155
Gwalior,Tech Meetup,3,304,23766,244,36,0,33
Rewa,Religious/Cultural,6,449,78026,296,23,0,296
Satna,Tech Meetup,3,43,18962,123,37,0,83
Bhopal,Music Concert,1,2973,45527,2614,28,0,1204
Bhopal,Music Concert,3,3872,68875,2564,31,0,2183
Bhopal,Cricket Screening,3,907,67296,158,17,0,158
Jabalpur,Music Concert,0,1487,59638,11165,18,0,6084
Jabalpur,Cricket Screening,6,241,77512,466,19,0,466
Indore,Standup Comedy,2,783,11994,280,17,0,169
Satna,Music Concert,6,2607,97893,6370,37,0,3300
Bhopal,Religious/Cultural,4,956,25958,157,44,0,81
Rewa,Standup Comedy,3,389,78447,174,25,0,174
Satna,Standup Comedy,6,803,21351,145,40,0,134
Jabalpur,Food Festival,1,985,64803,2982,15,0,1123
Gwalior,Music Concert,1,1225,77675,13464,27,0,5409
Ujjain,Religious/Cultural,6,830,97183,221,39,0,221
Ujjain,Standup Comedy,6,835,58919,246,26,0,246
Satna,Food Festival,4,693,31145,1517,29,0,516
Gwalior,Standup Comedy,1,336,52689,93,28,0,93
Satna,Standup Comedy,1,737,46821,92,19,0,92
Gwalior,Standup Comedy,6,262,46649,76,25,0,76
Satna,Music Concert,2,3401,28949,10626,38,0,6127
Jabalpur,Food Festival,0,500,96457,2555,23,0,1940
Satna,Religious/Cultural,5,368,44664,226,21,0,226
Gwalior,Tech Meetup,5,232,98667,72,25,0,72
Gwalior,Religious/Cultural,3,508,69372,137,33,0,137
Satna,Food Festival,3,566,92930,2996,24,0,612
Rewa,Cricket Screening,2,750,39960,311,31,0,170
Ujjain,Music Concert,5,3893,72532,11042,38,0,6035
Gwalior,Religious/Cultural,1,720,95191,134,16,0,134
Rewa,Religious/Cultural,6,738,77742,147,43,0,147
Jabalpur,Cricket Screening,4,164,1191,124,18,0,30
Gwalior,Music Concert,2,671,43677,9963,42,0,3347
Satna,Food Festival,4,647,26532,1631,42,0,327
Gwalior,Tech Meetup,0,478,74230,277,39,0,62
Indore,Food Festival,5,165,41560,3284,44,0,1332
Jabalpur,Food Festival,3,215,3433,3364,17,0,1333
Gwalior,Music Concert,2,1852,29783,11842,30,0,4751
Jabalpur,Religious/Cultural,6,668,79683,143,44,0,143
Indore,Tech Meetup,6,426,22029,291,19,0,39
Satna,Religious/Cultural,4,281,44787,201,40,0,201
Gwalior,Tech Meetup,6,196,16812,157,35,0,104
Satna,Standup Comedy,6,267,20186,292,40,0,173
Bhopal,Religious/Cultural,1,966,98030,260,27,0,260
Rewa,Food Festival,2,865,76202,1834,45,0,370
Satna,Cricket Screening,5,594,24821,124,44,0,123
Rewa,Standup Comedy,2,266,30965,215,44,0,96
Gwalior,Cricket Screening,6,50,68767,309,40,0,309
Satna,Food Festival,2,491,20610,2922,34,0,1006
Bhopal,Cricket Screening,4,591,45899,371,44,0,220
Indore,Food Festival,6,968,51944,2030,26,0,879
Jabalpur,Cricket Screening,2,518,4288,252,35,0,100
Gwalior,Tech Meetup,2,311,78564,181,41,0,34
Ujjain,Standup Comedy,2,145,81384,104,33,0,104
Satna,Music Concert,5,2180,9886,14982,37,0,6967
Satna,Religious/Cultural,5,493,15909,184,40,0,154
Jabalpur,Music Concert,0,3671,30252,2324,25,0,1050
Indore,Tech Meetup,1,54,34916,199,26,0,199
Gwalior,Music Concert,5,4943,75120,6073,27,0,3643
Rewa,Religious/Cultural,2,911,52743,119,43,0,119
Satna,Religious/Cultural,2,291,37836,289,45,0,117
Bhopal,Religious/Cultural,4,140,46571,98,24,0,98
Jabalpur,Music Concert,3,2467,18428,2962,17,0,1399
Satna,Tech Meetup,0,368,88084,185,32,0,64
Gwalior,Cricket Screening,1,509,28762,219,44,0,128
Bhopal,Music Concert,5,3444,67193,7909,42,0,3918
Gwalior,Religious/Cultural,0,692,71117,83,43,0,83
Indore,Standup Comedy,6,725,58117,103,43,0,103
Indore,Food Festival,5,608,64440,4304,45,0,822
Jabalpur,Food Festival,4,760,7118,2557,26,0,500
Jabalpur,Religious/Cultural,0,682,22099,118,18,0,118
Bhopal,Religious/Cultural,1,446,9240,163,33,0,148
Indore,Music Concert,1,1595,84798,4882,28,0,3888
Bhopal,Music Concert,2,3272,62969,8368,26,0,6876
Jabalpur,Religious/Cultural,6,109,6574,112,21,0,98
Satna,Religious/Cultural,4,796,20690,230,42,0,129
Indore,Cricket Screening,2,256,69895,330,20,0,315
Rewa,Music Concert,5,4920,1279,13997,17,0,10911
Indore,Cricket Screening,3,120,30118,116,35,0,116
Jabalpur,Music Concert,1,4718,66004,12408,33,0,5664
Indore,Cricket Screening,0,731,57043,357,31,0,289
Ujjain,Religious/Cultural,6,593,27938,52,35,0,52
Bhopal,Tech Meetup,0,267,45087,242,27,0,242
Indore,Food Festival,2,144,88516,2892,44,0,1395
Ujjain,Standup Comedy,0,703,13794,99,45,0,38
Rewa,Food Festival,1,412,33067,2731,31,0,1967
Jabalpur,Tech Meetup,4,162,67970,176,43,0,142
Satna,Tech Meetup,0,352,24196,197,35,0,30
Ujjain,Food Festival,5,785,90540,3075,36,0,1446
Ujjain,Music Concert,6,1731,28045,6006,36,0,4163
Bhopal,Cricket Screening,6,56,36136,333,29,0,232
Jabalpur,Cricket Screening,1,592,49320,498,41,0,166
Gwalior,Food Festival,2,378,803,1820,45,0,572
Bhopal,Music Concert,4,1778,1184,4321,39,0,2068
Ujjain,Music Concert,2,2494,4989,11446,33,0,5301
Indore,Cricket Screening,1,154,20199,235,20,0,191
Satna,Standup Comedy,2,697,86947,238,31,0,238
Rewa,Music Concert,0,3088,83970,8271,19,0,6076
Satna,Standup Comedy,1,784,24590,101,41,0,53
Satna,Music Concert,1,4549,30205,14440,41,0,3637
Jabalpur,Tech Meetup,1,485,49537,151,22,0,36
Rewa,Music Concert,4,3075,39395,7498,38,0,3558
Bhopal,Tech Meetup,1,363,5745,230,19,0,19
Rewa,Music Concert,6,2978,42067,4031,41,0,1578
Ujjain,Food Festival,0,750,71345,1103,45,0,237
Satna,Music Concert,5,3520,52142,3202,34,0,2478
Rewa,Religious/Cultural,1,566,34253,142,26,0,142
Satna,Tech Meetup,6,264,70577,240,29,0,240
Bhopal,Music Concert,4,2628,12144,8434,34,0,6744
Rewa,Tech Meetup,6,188,45248,209,21,0,209
Ujjain,Cricket Screening,4,896,53499,230,21,0,206
Jabalpur,Music Concert,2,4135,47423,4461,15,0,2922
Gwalior,Music Concert,6,2572,77443,2334,19,0,1909
Gwalior,Music Concert,6,2731,95052,12789,39,0,9519
Jabalpur,Cricket Screening,0,706,55952,289,45,0,244
Rewa,Tech Meetup,1,247,25942,108,35,0,101
Satna,Religious/Cultural,6,722,71910,74,19,0,74
Satna,Food Festival,4,797,829,3906,42,0,464
Indore,Food Festival,3,594,81153,3456,44,0,833
Ujjain,Religious/Cultural,0,449,95237,64,39,0,64
Ujjain,Religious/Cultural,3,671,24147,295,29,0,236
Ujjain,Standup Comedy,4,586,73176,180,16,0,180
Rewa,Food Festival,2,205,14272,3736,28,0,2286
Rewa,Music Concert,1,2852,28053,5535,31,0,3287
Indore,Tech Meetup,3,467,9821,160,26,0,21
Bhopal,Cricket Screening,0,642,800,311,43,0,74
Ujjain,Music Concert,6,1261,83614,3691,27,0,2504
Indore,Cricket Screening,2,295,20347,324,24,0,201
Bhopal,Music Concert,6,4679,52678,6835,21,0,4077
Satna,Cricket Screening,3,148,55493,472,30,0,407
Satna,Religious/Cultural,2,366,70713,105,32,0,105
Bhopal,Religious/Cultural,1,209,8407,240,38,0,149
Satna,Music Concert,6,1247,11727,14064,42,0,6177
Indore,Religious/Cultural,3,836,35507,173,26,0,173
Indore,Standup Comedy,3,410,51481,124,41,0,124
Bhopal,Standup Comedy,3,250,21875,193,38,0,183
Jabalpur,Standup Comedy,0,960,87858,59,31,0,59
Jabalpur,Food Festival,6,754,40743,1669,25,0,630
Indore,Food Festival,5,107,96075,3267,45,0,1831
Gwalior,Food Festival,6,617,4427,1624,37,0,396
Indore,Tech Meetup,6,69,66678,295,20,0,295
Gwalior,Religious/Cultural,0,691,31212,204,41,0,141
Bhopal,Religious/Cultural,3,412,21020,115,38,0,115
Satna,Cricket Screening,2,437,49018,137,30,0,137
Rewa,Music Concert,5,3957,7556,3131,16,0,2437
Indore,Religious/Cultural,0,769,24767,165,36,0,165
Rewa,Religious/Cultural,5,453,23423,149,40,0,149
Satna,Cricket Screening,6,716,90189,460,40,0,460
Gwalior,Music Concert,0,2154,36725,14906,37,0,8290
Jabalpur,Standup Comedy,2,122,87873,214,33,0,214
Satna,Religious/Cultural,2,909,71226,170,29,0,170
Indore,Religious/Cultural,0,481,68933,109,44,0,109
Jabalpur,Tech Meetup,1,213,73995,68,33,0,68
Ujjain,Standup Comedy,5,736,83563,185,20,0,185
Indore,Standup Comedy,6,494,91051,62,40,0,62
Bhopal,Standup Comedy,3,123,35767,124,34,0,124
Indore,Music Concert,1,1445,23003,6039,34,0,3382
Jabalpur,Food Festival,0,333,46282,4375,35,0,2813
Ujjain,Religious/Cultural,5,240,30443,223,37,0,223
Indore,Religious/Cultural,0,283,70363,107,24,0,107
Ujjain,Standup Comedy,1,644,63401,173,25,0,173
Ujjain,Cricket Screening,2,559,36330,149,24,0,149
Gwalior,Music Concert,5,1184,41559,5743,21,0,3684
Satna,Tech Meetup,4,421,58355,94,18,0,37
Ujjain,Standup Comedy,5,64,97699,149,41,0,149
Bhopal,Cricket Screening,1,431,92667,268,31,0,268
Jabalpur,Tech Meetup,6,398,54457,123,16,0,43
Rewa,Tech Meetup,1,76,37240,101,44,0,101
Rewa,Standup Comedy,3,877,25080,80,19,0,80
Bhopal,Food Festival,0,560,58485,1802,21,0,604
Gwalior,Food Festival,2,438,72342,1863,29,0,1697
Gwalior,Standup Comedy,6,999,15702,200,22,0,159
Jabalpur,Cricket Screening,0,651,5336,336,30,0,123
Rewa,Tech Meetup,2,214,48314,127,27,0,127
Gwalior,Religious/Cultural,1,246,59622,109,38,0,109
Jabalpur,Cricket Screening,4,73,43326,232,22,0,232
Bhopal,Tech Meetup,1,47,44805,217,27,0,185
Rewa,Standup Comedy,0,566,27762,168,21,0,122
Rewa,Tech Meetup,5,48,64772,113,41,0,113
Gwalior,Cricket Screening,0,718,7955,189,19,0,71
Bhopal,Food Festival,2,444,24409,1052,32,0,742
Rewa,Religious/Cultural,0,954,63564,162,35,0,162
Rewa,Tech Meetup,0,230,46255,58,39,0,58
Indore,Food Festival,4,632,69249,2332,19,0,666
Satna,Tech Meetup,4,419,29423,247,16,0,35
Ujjain,Music Concert,6,4512,77159,2335,30,0,2335
Indore,Tech Meetup,1,348,88534,289,23,0,69
Jabalpur,Tech Meetup,0,138,53634,73,15,0,73
Bhopal,Music Concert,2,4494,57931,2180,42,0,1032
Gwalior,Standup Comedy,4,186,15704,251,30,0,153
Indore,Religious/Cultural,4,627,75095,188,44,0,188
Gwalior,Food Festival,3,874,67099,2160,29,0,708
Gwalior,Standup Comedy,4,864,45068,98,32,0,98
Indore,Religious/Cultural,6,529,91440,265,18,0,265
Ujjain,Cricket Screening,2,72,16246,212,28,0,131
Satna,Tech Meetup,4,65,4627,212,16,0,42
Jabalpur,Tech Meetup,4,482,4213,190,21,0,12
Jabalpur,Cricket Screening,3,176,93462,466,35,0,466
Indore,Food Festival,1,608,23160,2302,23,0,737
Jabalpur,Religious/Cultural,5,342,18772,58,22,0,58
Jabalpur,Religious/Cultural,3,376,86549,269,42,0,268
Indore,Standup Comedy,2,720,14429,169,45,0,67
Rewa,Food Festival,0,761,75844,4997,25,0,1142
Jabalpur,Food Festival,3,723,54220,1577,22,0,505
Bhopal,Cricket Screening,2,629,63953,442,18,0,442
Satna,Music Concert,6,3157,23798,4229,19,0,1971
Jabalpur,Food Festival,6,768,77619,2793,27,0,786
Satna,Music Concert,4,1180,65557,11788,36,0,6621
Ujjain,Music Concert,5,4598,20775,9966,33,0,5597
Jabalpur,Cricket Screening,0,100,40223,137,27,0,137
Jabalpur,Cricket Screening,2,221,3131,320,34,0,130
Ujjain,Tech Meetup,2,368,44356,193,27,0,65
Rewa,Cricket Screening,2,129,66154,332,44,0,147
Ujjain,Cricket Screening,4,721,15755,445,34,0,157
Bhopal,Music Concert,0,3763,68045,13914,20,0,8509
Satna,Standup Comedy,3,607,44628,162,45,0,108
Rewa,Music Concert,0,1057,19767,9165,15,0,5872
Jabalpur,Standup Comedy,4,523,24647,106,17,0,106
Gwalior,Religious/Cultural,2,612,56223,283,18,0,283
Bhopal,Tech Meetup,2,250,65074,289,44,0,155
Bhopal,Music Concert,1,2086,72025,12623,39,0,5794
Rewa,Music Concert,0,4812,13004,13830,21,0,4676
Bhopal,Music Concert,4,2569,73653,5866,42,0,2448
Ujjain,Food Festival,1,251,16664,4740,30,0,2460
Jabalpur,Cricket Screening,1,305,47629,191,36,0,191
Indore,Tech Meetup,6,415,9049,273,33,0,25
Ujjain,Standup Comedy,4,786,91303,74,20,0,74
Indore,Religious/Cultural,4,274,65295,146,43,0,146
Bhopal,Standup Comedy,1,835,27111,261,23,0,145
Rewa,Standup Comedy,4,324,53897,179,29,0,179
Indore,Religious/Cultural,3,316,37484,83,44,0,83
Ujjain,Food Festival,6,699,22637,1947,36,0,865
Satna,Cricket Screening,1,941,25158,471,26,0,214
Ujjain,Tech Meetup,2,148,65311,83,45,0,83
Ujjain,Food Festival,4,576,63686,2222,24,0,491
Rewa,Food Festival,5,952,15722,1266,43,0,212
Gwalior,Tech Meetup,5,396,79982,288,25,0,65
Ujjain,Cricket Screening,4,105,27465,107,17,0,107
Jabalpur,Food Festival,3,808,94603,4371,27,0,1588
Jabalpur,Tech Meetup,2,456,39557,209,25,0,54
Rewa,Music Concert,3,3372,14509,4602,37,0,1479
Indore,Tech Meetup,0,97,26659,217,39,0,198
Ujjain,Religious/Cultural,0,619,82035,106,19,0,106
Jabalpur,Standup Comedy,3,815,7816,93,32,0,38
Gwalior,Tech Meetup,6,498,16870,78,30,0,13
Rewa,Food Festival,4,543,80538,3265,45,0,633
Indore,Food Festival,6,386,14775,3485,19,0,2580
Rewa,Food Festival,1,144,27788,4120,24,0,2996
Jabalpur,Religious/Cultural,6,229,73362,283,31,0,283
Bhopal,Standup Comedy,4,286,4877,123,33,0,50
Indore,Religious/Cultural,3,645,30837,69,43,0,69
Gwalior,Religious/Cultural,4,888,13174,122,15,0,92
Gwalior,Cricket Screening,5,283,18589,273,30,0,210
Jabalpur,Religious/Cultural,6,684,80101,134,33,0,134
Bhopal,Food Festival,1,994,26591,2385,17,0,527
Ujjain,Religious/Cultural,3,265,44950,151,25,0,151
Indore,Tech Meetup,6,32,172,143,32,0,62
Gwalior,Standup Comedy,3,864,63924,157,40,0,157
Jabalpur,Religious/Cultural,2,542,75423,149,43,0,149
Satna,Music Concert,0,3553,32869,7478,41,0,1894
Rewa,Religious/Cultural,0,793,45327,101,17,0,101
Ujjain,Food Festival,6,728,34291,1041,44,0,203
Rewa,Standup Comedy,0,869,20262,227,40,0,138
Indore,Food Festival,0,849,7237,3875,45,0,639
Gwalior,Cricket Screening,6,363,32794,327,27,0,327
Rewa,Tech Meetup,1,169,4808,164,38,0,70
Indore,Cricket Screening,6,842,4844,266,21,0,115
Bhopal,Cricket Screening,1,974,16568,151,41,0,54
Bhopal,Religious/Cultural,2,542,19686,135,45,0,95
Satna,Tech Meetup,2,248,77570,92,40,0,92
Rewa,Cricket Screening,0,311,73727,198,21,0,198
Indore,Food Festival,6,72,86116,3317,24,0,3007
Indore,Music Concert,3,1425,52087,12873,30,0,8908
Gwalior,Music Concert,6,3751,63700,13086,33,0,6665
Rewa,Cricket Screening,4,826,35035,189,23,0,122
Satna,Religious/Cultural,6,891,82749,98,32,0,98
Ujjain,Cricket Screening,0,350,83534,352,45,0,303
Jabalpur,Food Festival,6,884,98358,4329,24,0,1929
Rewa,Cricket Screening,4,805,52536,252,39,0,252
Satna,Religious/Cultural,6,860,52578,115,26,0,115
Satna,Music Concert,0,523,38328,12600,19,0,8910
Ujjain,Tech Meetup,2,308,77890,143,22,0,96
Bhopal,Music Concert,2,4832,63332,6302,26,0,5131
Gwalior,Music Concert,6,2828,88083,12660,21,0,6867
Ujjain,Cricket Screening,1,707,56189,172,21,0,172
Satna,Food Festival,1,314,60980,3514,22,0,2264
Satna,Cricket Screening,4,632,40334,500,39,0,330
Gwalior,Standup Comedy,1,332,39262,76,44,0,73
Satna,Food Festival,5,348,70099,2154,17,0,1847
Bhopal,Religious/Cultural,0,834,69712,244,18,0,244
Ujjain,Cricket Screening,1,221,28550,437,43,0,124
Jabalpur,Food Festival,3,913,66796,1742,31,0,744
Ujjain,Tech Meetup,0,65,43579,190,15,0,185
Satna,Music Concert,3,4354,50579,4431,38,0,2254
Satna,Food Festival,1,541,73888,3681,37,0,1018
Bhopal,Standup Comedy,4,620,11521,167,19,0,115
Satna,Music Concert,6,4421,76076,7280,34,0,5317
Bhopal,Religious/Cultural,6,676,54881,160,23,0,160
Indore,Cricket Screening,5,346,38495,372,44,0,200
Bhopal,Religious/Cultural,3,101,61568,67,26,0,67
Indore,Tech Meetup,5,261,17109,163,29,0,148
Jabalpur,Standup Comedy,6,647,67700,76,17,0,76
Ujjain,Religious/Cultural,2,272,83132,64,41,0,64
Ujjain,Music Concert,6,1225,65739,10611,16,0,8988
Bhopal,Religious/Cultural,0,789,66473,132,45,0,132
Indore,Music Concert,0,4658,89348,9166,40,0,4144
Indore,Tech Meetup,1,133,50451,182,37,0,182
Bhopal,Food Festival,0,178,99238,3988,27,0,3421
Indore,Standup Comedy,4,331,97548,154,17,0,154
Rewa,Cricket Screening,3,872,27783,196,19,0,168
Rewa,Tech Meetup,5,488,75395,116,43,0,33
Ujjain,Religious/Cultural,3,229,98819,289,15,0,289
Rewa,Music Concert,3,3567,30658,8397,18,0,4734
Rewa,Food Festival,4,202,98758,4823,25,0,3519
Rewa,Standup Comedy,3,221,7524,121,45,0,24
Rewa,Standup Comedy,2,554,54680,230,19,0,230
Satna,Food Festival,4,164,70206,2898,20,0,1496
Bhopal,Music Concert,0,596,47974,7128,33,0,4153
Indore,Religious/Cultural,6,108,43728,240,16,0,240
Gwalior,Standup Comedy,1,333,98696,223,40,0,223
Rewa,Cricket Screening,3,457,20226,216,27,0,86
Ujjain,Food Festival,6,469,97878,2354,44,0,1125
Bhopal,Music Concert,0,1481,50128,10440,23,0,5973
Bhopal,Food Festival,2,697,18940,3213,16,0,1234
Gwalior,Religious/Cultural,2,339,97185,231,44,0,231
Bhopal,Music Concert,5,2746,79760,2946,21,0,2141
Jabalpur,Standup Comedy,1,852,73646,102,36,0,102
Gwalior,Tech Meetup,1,445,25993,108,45,0,16
Rewa,Cricket Screening,2,281,91000,172,17,0,172
Ujjain,Tech Meetup,4,185,74280,144,24,0,144
Bhopal,Cricket Screening,5,140,92265,191,33,0,191
Rewa,Standup Comedy,3,617,63734,101,24,0,101
Ujjain,Tech Meetup,4,131,2437,157,34,0,36
Satna,Tech Meetup,4,406,51106,86,39,0,65
Ujjain,Religious/Cultural,0,744,17308,136,37,0,136
Jabalpur,Tech Meetup,3,368,554,120,18,0,4
Indore,Standup Comedy,6,914,90170,107,27,0,107
Jabalpur,Music Concert,3,1844,7827,12983,19,0,5941
Ujjain,Cricket Screening,1,318,48341,101,25,0,101
Bhopal,Cricket Screening,4,741,49158,469,33,0,469
Indore,Religious/Cultural,4,218,46411,153,18,0,153
Rewa,Cricket Screening,3,994,65470,237,31,0,202
Indore,Religious/Cultural,6,633,1645,241,35,0,141
Ujjain,Tech Meetup,6,208,9456,117,26,0,80
Jabalpur,Cricket Screening,5,499,97697,234,23,0,234
Bhopal,Standup Comedy,0,478,8374,82,44,0,34
Jabalpur,Music Concert,3,4992,29291,11874,29,0,6507
Jabalpur,Standup Comedy,0,399,61767,186,26,0,186
Jabalpur,Music Concert,0,2668,27970,10570,42,0,2799
Gwalior,Cricket Screening,0,642,67995,289,25,0,289
Rewa,Religious/Cultural,1,473,28630,103,17,0,103
Bhopal,Tech Meetup,4,345,2930,278,26,0,13
Jabalpur,Standup Comedy,1,239,9379,289,37,0,65
Rewa,Religious/Cultural,3,564,47508,235,20,0,235
Rewa,Tech Meetup,0,213,18279,120,17,0,113
Indore,Tech Meetup,6,260,83229,162,25,0,162
Gwalior,Tech Meetup,2,300,27080,92,18,0,92
Bhopal,Tech Meetup,0,352,98985,239,22,0,62
Indore,Religious/Cultural,0,929,38616,162,27,0,162
Ujjain,Religious/Cultural,3,934,43643,64,15,0,64
Gwalior,Standup Comedy,6,833,85590,166,34,0,166
Gwalior,Food Festival,1,909,29021,4160,36,0,708
Indore,Cricket Screening,6,266,28395,402,35,0,309
Ujjain,Standup Comedy,4,389,52843,156,21,0,156
Bhopal,Religious/Cultural,4,364,93134,279,45,0,244
Gwalior,Music Concert,1,3751,47040,6761,38,0,3180
Gwalior,Cricket Screening,6,651,73018,413,37,0,365
Jabalpur,Cricket Screening,5,577,13178,161,30,0,110
Gwalior,Cricket Screening,2,701,82628,372,26,0,372
Indore,Tech Meetup,3,64,1808,212,45,0,44
Rewa,Standup Comedy,3,672,60040,66,28,0,66
Rewa,Music Concert,6,1419,73886,13364,40,0,7476
Jabalpur,Cricket Screening,6,272,42181,177,34,0,177
Ujjain,Music Concert,6,2421,78096,13826,42,0,5410
Satna,Religious/Cultural,4,184,87955,132,32,0,132
Rewa,Religious/Cultural,2,497,40275,167,42,0,144
Jabalpur,Food Festival,0,519,19530,3124,16,0,963
Gwalior,Food Festival,6,219,28039,2536,22,0,1857
Bhopal,Tech Meetup,4,273,87821,143,23,0,143
Indore,Religious/Cultural,3,136,61460,158,31,0,158
Indore,Music Concert,0,3858,25687,4662,24,0,2348
Bhopal,Cricket Screening,5,974,2956,469,33,0,265
Indore,Tech Meetup,3,1,44531,263,40,0,263
Gwalior,Food Festival,5,558,83634,4803,45,0,1091
Jabalpur,Standup Comedy,4,281,10055,96,21,0,59
Satna,Food Festival,5,933,5788,4821,40,0,1133
Jabalpur,Food Festival,1,262,16063,1766,42,0,523
Indore,Standup Comedy,5,425,67041,204,31,0,204
Ujjain,Cricket Screening,3,894,21853,356,29,0,225
Rewa,Religious/Cultural,0,538,4877,108,33,0,75
Gwalior,Standup Comedy,5,183,14894,166,27,0,166
Bhopal,Cricket Screening,4,211,13254,139,28,0,125
Ujjain,Music Concert,5,4461,92091,3969,42,0,2268
Rewa,Food Festival,2,188,8426,3366,28,0,2167
Jabalpur,Standup Comedy,2,347,25343,267,19,0,143
Bhopal,Tech Meetup,0,29,73854,133,21,0,133
Ujjain,Cricket Screening,3,736,98009,450,25,0,383
Gwalior,Religious/Cultural,6,438,28656,158,30,0,158
Gwalior,Tech Meetup,1,408,1462,87,36,0,5
Satna,Standup Comedy,5,430,19654,238,28,0,131
Satna,Standup Comedy,2,902,11132,243,24,0,105
Gwalior,Food Festival,3,409,88719,2408,34,0,1196
